"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-17200 MW),(-19200 MW)
21-Aug-23 34,30836,28582,45315,28115,3876,15000,-467,-2467
28-Aug-23 35,30002,28738,44097,26897,5094,15000,-1841,-3841
04-Sep-23 36,31182,29496,44280,27080,4911,15000,-2416,-4416
11-Sep-23 37,31248,29562,44503,27303,4688,15000,-2259,-4259
18-Sep-23 38,31057,29370,44492,27292,4699,15000,-2079,-4079
25-Sep-23 39,30709,29022,44041,26841,5150,15000,-2182,-4182
02-Oct-23 40,30953,28976,43958,26758,5233,15000,-2219,-4219
09-Oct-23 41,30997,29039,44066,26866,5125,15000,-2173,-4173
16-Oct-23 42,30957,28980,44147,26947,5044,15000,-2034,-4034
23-Oct-23 43,30972,28995,43884,26684,5307,15000,-2312,-4312
30-Oct-23 44,30407,28435,43759,26559,5432,15000,-1876,-3876
06-Nov-23 45,30325,28257,43893,26693,5298,15000,-1565,-3565
13-Nov-23 46,30020,27953,44140,26940,5051,15000,-1013,-3013
20-Nov-23 47,30288,28220,43774,26574,5417,15000,-1647,-3647
27-Nov-23 48,30059,27991,42837,25637,6354,15000,-2354,-4354
04-Dec-23 49,30063,27880,42837,27637,6354,13000,-244,-2244
11-Dec-23 50,30109,27927,43017,27817,6174,13000,-110,-2110
18-Dec-23 51,28935,26752,42668,27468,6523,13000,716,-1284
25-Dec-23 52,26312,24130,39608,24408,9583,13000,278,-1722
01-Jan-24 1,27780,25636,40533,25333,8658,13000,-303,-2303
08-Jan-24 2,29422,27278,41715,26515,7476,13000,-764,-2764
15-Jan-24 3,29883,27739,42580,27380,6611,13000,-359,-2359
22-Jan-24 4,30203,28059,42580,27380,6611,13000,-680,-2680
29-Jan-24 5,30358,28214,42580,27380,6611,13000,-834,-2834
05-Feb-24 6,30700,28610,43425,28225,5766,13000,-385,-2385
12-Feb-24 7,30793,28704,43425,28225,5766,13000,-479,-2479
19-Feb-24 8,30724,28635,43030,27830,6161,13000,-805,-2805
26-Feb-24 9,30567,28477,43030,27830,6161,13000,-647,-2647
04-Mar-24 10,30918,28958,43693,28493,5498,13000,-466,-2466
11-Mar-24 11,30966,29006,43516,28316,5675,13000,-690,-2690
18-Mar-24 12,30790,28807,43038,27838,6153,13000,-969,-2969
25-Mar-24 13,30764,28719,42622,27422,6569,13000,-1297,-3297
01-Apr-24 14,31151,29620,44077,28877,5114,13000,-744,-2744
08-Apr-24 15,31666,30135,43607,28407,5584,13000,-1728,-3728
15-Apr-24 16,32015,30483,45283,30083,3908,13000,-401,-2401
22-Apr-24 17,32400,30869,45108,29908,4083,13000,-961,-2961
29-Apr-24 18,32215,30877,45723,30523,3468,13000,-354,-2354
06-May-24 19,33020,31695,46316,31116,2875,13000,-579,-2579
13-May-24 20,33663,32338,46491,31291,2700,13000,-1047,-3047
20-May-24 21,33932,32607,47211,32011,1980,13000,-596,-2596
27-May-24 22,34457,33131,47179,31979,2012,13000,-1153,-3153
03-Jun-24 23,34299,32501,47179,31979,2012,13000,-523,-2523
10-Jun-24 24,34408,32610,47179,31979,2012,13000,-631,-2631
17-Jun-24 25,34302,32504,47754,32554,1437,13000,49,-1951
24-Jun-24 26,34515,32717,47754,32554,1437,13000,-163,-2163
01-Jul-24 27,33834,32299,47414,32214,1777,13000,-86,-2086
08-Jul-24 28,34176,32642,46694,31494,2497,13000,-1148,-3148
15-Jul-24 29,33948,32413,47134,31934,2057,13000,-480,-2480
22-Jul-24 30,34257,32722,47140,31940,2051,13000,-783,-2783
29-Jul-24 31,33502,31968,46555,31355,2636,13000,-613,-2613
05-Aug-24 32,33141,31447,45330,30130,3861,13000,-1318,-3318
12-Aug-24 33,32597,30903,45330,30130,3861,13000,-774,-2774
19-Aug-24 34,32491,30798,44552,29352,4639,13000,-1446,-3446
26-Aug-24 35,32020,30327,44857,29657,4334,13000,-670,-2670
