"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
22-Aug-22 34,32274,30607,45153,30953,4872,12000,346,-1654
29-Aug-22 35,32514,30427,44317,30117,5708,12000,-310,-2310
05-Sep-22 36,32005,29918,44227,29027,5798,13000,-891,-2891
12-Sep-22 37,31806,29719,43742,28542,6283,13000,-1177,-3177
19-Sep-22 38,31469,29381,43667,28467,6358,13000,-914,-2914
26-Sep-22 39,31491,29403,43904,28704,6121,13000,-699,-2699
03-Oct-22 40,31580,29475,43221,28021,6804,13000,-1454,-3454
10-Oct-22 41,31429,29325,44594,29394,5431,13000,70,-1930
17-Oct-22 42,31228,29242,45704,30504,4321,13000,1262,-738
24-Oct-22 43,31066,29102,43819,28619,6206,13000,-483,-2483
31-Oct-22 44,30831,28867,42495,27295,7530,13000,-1572,-3572
07-Nov-22 45,31255,29072,43492,28292,6533,13000,-781,-2781
14-Nov-22 46,31172,28989,44009,28809,6016,13000,-180,-2180
21-Nov-22 47,31292,29109,43337,28137,6688,13000,-972,-2972
28-Nov-22 48,31015,28832,42329,27129,7696,13000,-1702,-3702
05-Dec-22 49,31023,28837,41975,26775,8050,13000,-2061,-4061
12-Dec-22 50,30633,28446,42581,27381,7444,13000,-1065,-3065
19-Dec-22 51,29318,27132,41071,25871,8954,13000,-1261,-3261
26-Dec-22 52,26867,24680,39781,24581,10244,13000,-99,-2099
02-Jan-23 1,28588,26066,40380,25180,9645,13000,-886,-2886
09-Jan-23 2,29704,27670,41793,26593,8232,13000,-1077,-3077
16-Jan-23 3,30496,28461,42156,26956,7869,13000,-1505,-3505
23-Jan-23 4,30174,28139,42138,26938,7887,13000,-1201,-3201
30-Jan-23 5,30383,28349,42170,26970,7855,13000,-1379,-3379
06-Feb-23 6,30997,29208,42603,27403,7422,13000,-1805,-3805
13-Feb-23 7,30835,29045,42403,27203,7622,13000,-1842,-3842
20-Feb-23 8,30909,29119,42460,27260,7565,13000,-1859,-3859
27-Feb-23 9,30721,29153,43295,28095,6730,13000,-1058,-3058
06-Mar-23 10,31153,29585,43924,28724,6101,13000,-861,-2861
13-Mar-23 11,30805,29237,43355,28155,6670,13000,-1082,-3082
20-Mar-23 12,31014,29366,43900,28700,6125,13000,-666,-2666
27-Mar-23 13,30853,29206,43260,28060,6765,13000,-1146,-3146
03-Apr-23 14,32219,30573,44698,30498,5327,12000,-75,-2075
10-Apr-23 15,32493,30846,45048,30848,4977,12000,2,-1998
17-Apr-23 16,32984,31338,45809,31609,4216,12000,271,-1729
24-Apr-23 17,33668,32021,45809,31609,4216,12000,-412,-2412
01-May-23 18,33601,32419,46526,32326,3499,12000,-93,-2093
08-May-23 19,34531,33349,47166,32966,2859,12000,-383,-2383
15-May-23 20,34704,33522,47166,32966,2859,12000,-556,-2556
22-May-23 21,35031,33849,47366,33166,2659,12000,-683,-2683
29-May-23 22,35849,34667,48074,33874,1951,12000,-793,-2793
05-Jun-23 23,35053,33773,47578,33378,2447,12000,-395,-2395
12-Jun-23 24,35055,33774,48093,33893,1932,12000,119,-1881
19-Jun-23 25,34886,33605,48073,33873,1952,12000,268,-1732
26-Jun-23 26,35391,34110,48408,34208,1617,12000,98,-1902
03-Jul-23 27,35153,33662,48001,33801,2024,12000,139,-1861
10-Jul-23 28,35127,33636,48001,33801,2024,12000,165,-1835
17-Jul-23 29,35242,33751,47921,33721,2104,12000,-30,-2030
24-Jul-23 30,35288,33797,47978,33778,2047,12000,-19,-2019
31-Jul-23 31,34476,32985,47442,33242,2583,12000,257,-1743
07-Aug-23 32,34026,32460,46945,32745,3080,12000,285,-1715
14-Aug-23 33,33679,32114,46364,32164,3661,12000,50,-1950
21-Aug-23 34,33602,32037,46936,32736,3089,12000,699,-1301
28-Aug-23 35,33480,31961,47084,32884,2941,12000,923,-1077
