"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-13200 MW),(-15200 MW)
24-May-21 21,33373,32167,45724,32524,3867,11000,356,-1644
31-May-21 22,33215,31433,45724,32524,3867,11000,1091,-909
07-Jun-21 23,32230,31100,45203,32003,4388,11000,902,-1098
14-Jun-21 24,32103,30973,45143,31943,4448,11000,969,-1031
21-Jun-21 25,32391,31261,46685,33485,2906,11000,2223,223
28-Jun-21 26,32489,31359,45772,32572,3819,11000,1212,-788
05-Jul-21 27,32683,31560,45579,32379,4012,11000,819,-1181
12-Jul-21 28,32480,31357,46860,33660,2731,11000,2302,302
19-Jul-21 29,32535,31412,47191,33991,2400,11000,2579,579
26-Jul-21 30,32483,31360,46860,33660,2731,11000,2300,300
02-Aug-21 31,32024,30578,45500,32300,4091,11000,1721,-279
09-Aug-21 32,31801,30355,45500,32300,4091,11000,1945,-55
16-Aug-21 33,31876,30430,45238,32038,4353,11000,1608,-392
23-Aug-21 34,31781,30335,44274,31074,5317,11000,739,-1261
30-Aug-21 35,32040,30594,45149,31949,4442,11000,1354,-646
06-Sep-21 36,31822,30317,45149,31949,4442,11000,1631,-369
13-Sep-21 37,31733,30228,44759,31559,4832,11000,1330,-670
20-Sep-21 38,31621,30117,45144,31944,4447,11000,1827,-173
27-Sep-21 39,31399,29895,44554,31354,5037,11000,1459,-541
04-Oct-21 40,31883,30007,43994,30794,5597,11000,786,-1214
11-Oct-21 41,31607,29782,43774,30574,5817,11000,792,-1208
18-Oct-21 42,31588,29763,43774,30574,5817,11000,810,-1190
25-Oct-21 43,31400,29575,43427,30227,6164,11000,652,-1348
01-Nov-21 44,31194,29066,43117,29917,6474,11000,851,-1149
08-Nov-21 45,31167,29038,42889,29689,6702,11000,650,-1350
15-Nov-21 46,31281,29153,44120,30920,5471,11000,1767,-233
22-Nov-21 47,31139,29010,43505,30305,6086,11000,1294,-706
29-Nov-21 48,30786,28674,42804,29604,6787,11000,929,-1071
06-Dec-21 49,30908,28807,42827,29627,6764,11000,820,-1180
13-Dec-21 50,30078,27977,41459,28259,8132,11000,281,-1719
20-Dec-21 51,28684,26583,40609,27409,8982,11000,825,-1175
27-Dec-21 52,27041,24940,41451,28251,8140,11000,3311,1311
03-Jan-22 1,29304,26817,41966,28766,7625,11000,1949,-51
10-Jan-22 2,30021,27824,41915,28715,7676,11000,890,-1110
17-Jan-22 3,30199,28002,41584,28384,8007,11000,381,-1619
24-Jan-22 4,30136,27940,43102,29902,6489,11000,1962,-38
31-Jan-22 5,31053,28896,42923,29723,6668,11000,826,-1174
07-Feb-22 6,31542,29386,43538,30338,6053,11000,952,-1048
14-Feb-22 7,31517,29361,44054,30854,5537,11000,1493,-507
21-Feb-22 8,31330,29174,44008,30808,5583,11000,1634,-366
28-Feb-22 9,31272,29375,44122,30922,5469,11000,1547,-453
07-Mar-22 10,31598,29725,43927,30727,5664,11000,1002,-998
14-Mar-22 11,31415,29492,43927,30727,5664,11000,1234,-766
21-Mar-22 12,31216,29161,43456,30256,6135,11000,1094,-906
28-Mar-22 13,31470,29415,44176,30976,5415,11000,1561,-439
04-Apr-22 14,31793,30416,45183,31983,4408,11000,1567,-433
11-Apr-22 15,32222,30845,44165,30965,5426,11000,120,-1880
18-Apr-22 16,32476,31098,42940,29740,6651,11000,-1359,-3359
25-Apr-22 17,32052,30674,43555,30355,6036,11000,-320,-2320
02-May-22 18,32895,31659,45892,32692,3699,11000,1032,-968
09-May-22 19,33602,32367,45892,32692,3699,11000,325,-1675
16-May-22 20,33977,32742,47587,34387,2004,11000,1644,-356
23-May-22 21,34556,33321,47202,34002,2389,11000,680,-1320
30-May-22 22,35522,34287,47842,34642,1749,11000,355,-1645
