"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
07-Mar-22 10,29629,28425,41657,27457,7933,12000,-968,-2968
14-Mar-22 11,30408,28743,43753,29553,5837,12000,809,-1191
21-Mar-22 12,30756,28831,42859,28659,6731,12000,-172,-2172
28-Mar-22 13,30724,28799,42550,28350,7040,12000,-449,-2449
04-Apr-22 14,30546,29253,43168,29968,6422,11000,714,-1286
11-Apr-22 15,30608,29314,43551,30351,6039,11000,1036,-964
18-Apr-22 16,31130,29837,44476,31276,5114,11000,1439,-561
25-Apr-22 17,31118,29824,43901,30701,5689,11000,876,-1124
02-May-22 18,32110,30771,44476,31276,5114,11000,504,-1496
09-May-22 19,32204,30865,45351,32151,4239,11000,1285,-715
16-May-22 20,32686,31347,45476,32276,4114,11000,929,-1071
23-May-22 21,33208,31869,46051,32851,3539,11000,981,-1019
30-May-22 22,33783,32444,46775,33575,2815,11000,1131,-869
06-Jun-22 23,34300,32786,46100,32900,3490,11000,114,-1886
13-Jun-22 24,34134,32620,45460,32260,4130,11000,-360,-2360
20-Jun-22 25,34375,32861,45952,32752,3638,11000,-109,-2109
27-Jun-22 26,34399,32884,46124,32924,3466,11000,39,-1961
04-Jul-22 27,34574,33000,46019,32819,3571,11000,-182,-2182
11-Jul-22 28,34644,33071,46109,32909,3481,11000,-162,-2162
18-Jul-22 29,35023,33450,46352,33152,3238,11000,-298,-2298
25-Jul-22 30,34323,32750,46542,33342,3048,11000,592,-1408
01-Aug-22 31,33489,31924,45258,32058,4332,11000,133,-1867
08-Aug-22 32,33039,31474,44574,31374,5016,11000,-100,-2100
15-Aug-22 33,33212,31647,44722,31522,4868,11000,-126,-2126
22-Aug-22 34,32861,31323,44912,31712,4678,11000,389,-1611
29-Aug-22 35,32397,30878,44486,31286,5104,11000,407,-1593
05-Sep-22 36,32729,30641,44215,30015,5375,12000,-627,-2627
12-Sep-22 37,32971,30883,43830,29630,5760,12000,-1253,-3253
19-Sep-22 38,32359,30272,43193,28993,6397,12000,-1279,-3279
26-Sep-22 39,32080,29992,43349,29149,6241,12000,-843,-2843
03-Oct-22 40,32414,30308,43496,29296,6094,12000,-1012,-3012
10-Oct-22 41,31774,29809,42829,28629,6761,12000,-1181,-3181
17-Oct-22 42,32028,30038,43077,28877,6513,12000,-1161,-3161
24-Oct-22 43,31415,29451,42541,28341,7049,12000,-1110,-3110
31-Oct-22 44,31472,29346,42407,28207,7183,12000,-1140,-3140
07-Nov-22 45,31872,29689,42350,28150,7240,12000,-1539,-3539
14-Nov-22 46,31613,29430,42402,28202,7188,12000,-1229,-3229
21-Nov-22 47,31292,29109,42048,27848,7542,12000,-1261,-3261
28-Nov-22 48,31015,28832,41543,27343,8047,12000,-1489,-3489
05-Dec-22 49,31023,28837,42908,28708,6682,12000,-129,-2129
12-Dec-22 50,30633,28446,41729,27529,7861,12000,-918,-2918
19-Dec-22 51,29318,27132,40194,25994,9396,12000,-1138,-3138
26-Dec-22 52,26867,24680,40274,26074,9316,12000,1393,-607
02-Jan-23 1,28588,26066,40274,26074,9316,12000,7,-1993
09-Jan-23 2,29704,27670,40989,26789,8601,12000,-881,-2881
16-Jan-23 3,30496,28461,41620,27420,7970,12000,-1042,-3042
23-Jan-23 4,30174,28139,40565,26365,9025,12000,-1775,-3775
30-Jan-23 5,30383,28349,41065,26865,8525,12000,-1484,-3484
06-Feb-23 6,30997,29208,41798,27598,7792,12000,-1610,-3610
13-Feb-23 7,30835,29045,41598,27398,7992,12000,-1648,-3648
20-Feb-23 8,30909,29119,42390,28190,7200,12000,-930,-2930
27-Feb-23 9,31026,29153,42152,27952,7438,12000,-1201,-3201
