"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-17200 MW),(-19200 MW)
15-May-23 20,33190,31734,45779,28579,3412,15000,-3155,-5155
22-May-23 21,33419,32237,46372,29172,2819,15000,-3065,-5065
29-May-23 22,33838,32656,47097,29897,2094,15000,-2760,-4760
05-Jun-23 23,32878,31597,47377,30177,1814,15000,-1421,-3421
12-Jun-23 24,33085,31804,46802,29602,2389,15000,-2203,-4203
19-Jun-23 25,33072,31791,46802,29602,2389,15000,-2190,-4190
26-Jun-23 26,33276,31995,47817,30617,1374,15000,-1379,-3379
03-Jul-23 27,33268,31777,46503,29303,2688,15000,-2474,-4474
10-Jul-23 28,33501,32010,46753,29553,2438,15000,-2458,-4458
17-Jul-23 29,33536,32045,46563,29363,2628,15000,-2683,-4683
24-Jul-23 30,33255,31764,46215,29015,2976,15000,-2750,-4750
31-Jul-23 31,33211,31518,45640,28440,3551,15000,-3078,-5078
07-Aug-23 32,32810,31116,45000,27800,4191,15000,-3317,-5317
14-Aug-23 33,32522,30828,44584,27384,4607,15000,-3445,-5445
21-Aug-23 34,32669,30975,44822,27622,4369,15000,-3354,-5354
28-Aug-23 35,32154,30475,45520,28320,3671,15000,-2155,-4155
04-Sep-23 36,32329,30642,44870,27670,4321,15000,-2973,-4973
11-Sep-23 37,32319,30633,45692,28492,3499,15000,-2141,-4141
18-Sep-23 38,31676,29989,46366,29166,2825,15000,-823,-2823
25-Sep-23 39,31623,29936,45518,28318,3673,15000,-1619,-3619
02-Oct-23 40,31635,29659,45138,27938,4053,15000,-1721,-3721
09-Oct-23 41,31372,29395,45228,28028,3963,15000,-1367,-3367
16-Oct-23 42,31286,29309,44944,27744,4247,15000,-1566,-3566
23-Oct-23 43,30991,29015,44131,26931,5060,15000,-2084,-4084
30-Oct-23 44,30837,28860,44301,27101,4890,15000,-1760,-3760
06-Nov-23 45,30480,28381,43693,28493,5498,13000,112,-1888
13-Nov-23 46,30439,28371,42952,27752,6239,13000,-619,-2619
20-Nov-23 47,30288,28220,43349,28149,5842,13000,-72,-2072
27-Nov-23 48,30059,27991,43668,28468,5523,13000,477,-1523
04-Dec-23 49,30063,27880,43725,28525,5466,13000,644,-1356
11-Dec-23 50,30109,27927,42532,27332,6659,13000,-595,-2595
18-Dec-23 51,28935,26752,40983,25783,8208,13000,-969,-2969
25-Dec-23 52,26312,24130,40190,24990,9001,13000,860,-1140
01-Jan-24 1,27954,25810,41203,26003,7988,13000,192,-1808
08-Jan-24 2,29548,27404,41303,26103,7888,13000,-1302,-3302
15-Jan-24 3,30300,28156,42362,27162,6829,13000,-994,-2994
22-Jan-24 4,30273,28129,42510,27310,6681,13000,-819,-2819
29-Jan-24 5,30490,28346,43512,28312,5679,13000,-34,-2034
05-Feb-24 6,31030,28940,43121,27921,6070,13000,-1020,-3020
12-Feb-24 7,31154,29065,43268,28068,5923,13000,-997,-2997
19-Feb-24 8,31289,29199,43763,28563,5428,13000,-637,-2637
26-Feb-24 9,31095,29006,43148,27948,6043,13000,-1058,-3058
04-Mar-24 10,31512,29552,44306,29106,4885,13000,-447,-2447
11-Mar-24 11,31196,29236,44563,29363,4628,13000,127,-1873
18-Mar-24 12,31440,29480,45476,30276,3715,13000,795,-1205
25-Mar-24 13,31322,29276,45826,30626,3365,13000,1349,-651
