"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-15200 MW),(-16700 MW)
12-Dec-22 50,29426,27519,43158,27958,6033,13000,439,-1061
19-Dec-22 51,27831,26167,40685,25485,8506,13000,-682,-2182
26-Dec-22 52,25623,23436,41031,25831,8160,13000,2395,895
02-Jan-23 1,27829,25795,42478,27278,6713,13000,1483,-17
09-Jan-23 2,28986,26952,43063,27863,6128,13000,911,-589
16-Jan-23 3,29491,27456,43016,27816,6175,13000,360,-1140
23-Jan-23 4,29873,27838,42999,27799,6192,13000,-39,-1539
30-Jan-23 5,29869,28079,43402,28202,5789,13000,123,-1377
06-Feb-23 6,30146,28356,43392,28192,5799,13000,-164,-1664
13-Feb-23 7,30285,28495,43692,28492,5499,13000,-3,-1503
20-Feb-23 8,30157,28367,43734,28534,5457,13000,167,-1333
27-Feb-23 9,30006,28307,44523,29323,4668,13000,1016,-484
06-Mar-23 10,30575,29007,44523,29323,4668,13000,316,-1184
13-Mar-23 11,30805,29237,44523,29323,4668,13000,86,-1414
20-Mar-23 12,31014,29366,44523,29323,4668,13000,-43,-1543
27-Mar-23 13,30853,29206,44523,29323,4668,13000,117,-1383
03-Apr-23 14,32219,30573,44523,29323,4668,13000,-1250,-2750
10-Apr-23 15,32493,30846,44823,29623,4368,13000,-1223,-2723
17-Apr-23 16,32984,31338,45408,30208,3783,13000,-1130,-2630
24-Apr-23 17,33668,32021,46023,30823,3168,13000,-1198,-2698
01-May-23 18,33601,32419,46213,31013,2978,13000,-1406,-2906
08-May-23 19,34531,33349,46987,31787,2204,13000,-1562,-3062
15-May-23 20,34704,33522,46987,31787,2204,13000,-1735,-3235
22-May-23 21,35031,33849,47177,31977,2014,13000,-1872,-3372
29-May-23 22,35849,34667,47377,32177,1814,13000,-2490,-3990
05-Jun-23 23,35053,33773,47229,32029,1962,13000,-1744,-3244
12-Jun-23 24,35055,33774,47177,31977,2014,13000,-1797,-3297
19-Jun-23 25,34886,33605,47177,31977,2014,13000,-1628,-3128
26-Jun-23 26,35391,34110,47100,31900,2091,13000,-2210,-3710
03-Jul-23 27,35153,33662,47642,32442,1549,13000,-1220,-2720
10-Jul-23 28,35127,33636,47642,32442,1549,13000,-1194,-2694
17-Jul-23 29,35242,33751,47970,32770,1221,13000,-981,-2481
24-Jul-23 30,35288,33797,47622,32422,1569,13000,-1375,-2875
31-Jul-23 31,34476,32985,47047,31847,2144,13000,-1138,-2638
07-Aug-23 32,34154,32460,46407,31207,2784,13000,-1253,-2753
14-Aug-23 33,33807,32114,45860,30660,3331,13000,-1454,-2954
21-Aug-23 34,33730,32037,46179,30979,3012,13000,-1058,-2558
28-Aug-23 35,33641,31961,45734,30534,3457,13000,-1427,-2927
04-Sep-23 36,33478,31791,45901,30701,3290,13000,-1090,-2590
11-Sep-23 37,33126,31440,45906,30706,3285,13000,-734,-2234
18-Sep-23 38,32252,30565,45388,30188,3803,13000,-377,-1877
25-Sep-23 39,32248,30561,44350,29150,4841,13000,-1411,-2911
02-Oct-23 40,32438,30461,43970,28770,5221,13000,-1691,-3191
09-Oct-23 41,31837,29871,44060,28860,5131,13000,-1011,-2511
16-Oct-23 42,31305,29362,43776,28576,5415,13000,-786,-2286
23-Oct-23 43,30945,29062,42963,27763,6228,13000,-1299,-2799
30-Oct-23 44,31008,29125,43133,27933,6058,13000,-1192,-2692
06-Nov-23 45,30887,28819,42377,27177,6814,13000,-1642,-3142
13-Nov-23 46,30757,28689,42490,27290,6701,13000,-1399,-2899
20-Nov-23 47,30574,28506,41907,26707,7284,13000,-1799,-3299
27-Nov-23 48,30527,28459,41780,26580,7411,13000,-1879,-3379
04-Dec-23 49,30588,28401,43132,27932,6059,13000,-469,-1969
11-Dec-23 50,30007,27820,41939,26739,7252,13000,-1081,-2581
18-Dec-23 51,28906,26719,40390,25190,8801,13000,-1529,-3029
