"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-14200 MW),(-16200 MW)
22-Feb-21 8,29948,28305,41040,26840,7611,12000,-1466,-3466
01-Mar-21 9,29573,28213,41107,26907,7544,12000,-1307,-3307
08-Mar-21 10,29813,28383,41202,27002,7449,12000,-1382,-3382
15-Mar-21 11,29551,28121,40948,26748,7703,12000,-1374,-3374
22-Mar-21 12,29686,28256,41143,26943,7508,12000,-1314,-3314
29-Mar-21 13,29646,28176,41469,27269,7182,12000,-907,-2907
05-Apr-21 14,29543,28433,41812,28612,6839,11000,179,-1821
12-Apr-21 15,30081,28970,42502,29302,6149,11000,332,-1668
19-Apr-21 16,30394,29283,43222,30022,5429,11000,738,-1262
26-Apr-21 17,29992,28882,42690,29490,5961,11000,608,-1392
03-May-21 18,30875,29826,43977,30777,4674,11000,951,-1049
10-May-21 19,31200,30151,45029,31829,3622,11000,1677,-323
17-May-21 20,31538,30489,45634,32434,3017,11000,1945,-55
24-May-21 21,34741,33692,46303,33103,2348,11000,-590,-2590
31-May-21 22,34752,33703,46943,33743,1708,11000,40,-1960
07-Jun-21 23,34333,33171,46096,32896,2555,11000,-276,-2276
14-Jun-21 24,33909,32747,46096,32896,2555,11000,148,-1852
21-Jun-21 25,33971,32809,45531,32331,3120,11000,-478,-2478
28-Jun-21 26,33884,32722,45734,32534,2917,11000,-188,-2188
05-Jul-21 27,33818,32613,46084,32884,2567,11000,271,-1729
12-Jul-21 28,33818,32613,45894,32694,2757,11000,81,-1919
19-Jul-21 29,34013,32808,45894,32694,2757,11000,-114,-2114
26-Jul-21 30,33906,32701,45894,32694,2757,11000,-8,-2008
02-Aug-21 31,33120,31572,45174,31974,3477,11000,401,-1599
09-Aug-21 32,32536,30988,43719,30519,4932,11000,-470,-2470
16-Aug-21 33,32389,30841,43799,30599,4852,11000,-243,-2243
23-Aug-21 34,31883,30335,44221,31021,4430,11000,686,-1314
30-Aug-21 35,32142,30594,43736,30536,4915,11000,-59,-2059
06-Sep-21 36,31921,30317,43682,30482,4969,11000,164,-1836
13-Sep-21 37,31833,30228,43132,29932,5519,11000,-297,-2297
20-Sep-21 38,31721,30117,44427,31227,4224,11000,1110,-890
27-Sep-21 39,31499,29895,43008,29808,5643,11000,-87,-2087
04-Oct-21 40,32009,30007,42953,29753,5698,11000,-255,-2255
11-Oct-21 41,31733,29782,43146,29946,5505,11000,164,-1836
18-Oct-21 42,31714,29763,43391,30191,5260,11000,427,-1573
25-Oct-21 43,31526,29575,42367,29167,6284,11000,-408,-2408
01-Nov-21 44,31436,29066,41788,28588,6863,11000,-478,-2478
08-Nov-21 45,31408,29038,42324,29124,6327,11000,85,-1915
15-Nov-21 46,31522,29153,42255,29055,6396,11000,-98,-2098
22-Nov-21 47,31380,29010,41670,28470,6981,11000,-541,-2541
29-Nov-21 48,31027,28674,42129,28929,6522,11000,254,-1746
06-Dec-21 49,31147,28807,40952,27752,7699,11000,-1055,-3055
13-Dec-21 50,30318,27977,41967,28767,6684,11000,789,-1211
20-Dec-21 51,28924,26583,41407,28207,7244,11000,1623,-377
27-Dec-21 52,27281,24940,42359,29159,6292,11000,4219,2219
03-Jan-22 1,29397,26817,42056,28856,6595,11000,2039,39
10-Jan-22 2,30102,27824,41895,28695,6756,11000,870,-1130
17-Jan-22 3,30280,28002,41564,28364,7087,11000,361,-1639
24-Jan-22 4,30217,27940,42917,29717,5734,11000,1777,-223
31-Jan-22 5,30837,28896,42803,29603,5848,11000,706,-1294
07-Feb-22 6,31327,29386,43586,30386,5065,11000,1000,-1000
14-Feb-22 7,31301,29361,42993,29793,5658,11000,432,-1568
21-Feb-22 8,31115,29174,43608,30408,5043,11000,1234,-766
28-Feb-22 9,31166,29375,43722,30522,4929,11000,1147,-853
