"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-13200 MW),(-15200 MW)
19-Jul-21 29,33969,32679,45782,32582,3814,11000,-97,-2097
26-Jul-21 30,33184,31588,45345,32145,4251,11000,557,-1443
02-Aug-21 31,32180,30734,45490,32290,4106,11000,1556,-444
09-Aug-21 32,31880,30434,45295,32095,4301,11000,1660,-340
16-Aug-21 33,31977,30531,44596,31396,5000,11000,865,-1135
23-Aug-21 34,31492,30046,44448,31248,5148,11000,1202,-798
30-Aug-21 35,32192,30746,45409,32209,4187,11000,1463,-537
06-Sep-21 36,31703,30199,44577,31377,5019,11000,1178,-822
13-Sep-21 37,31415,29910,44429,31229,5167,11000,1319,-681
20-Sep-21 38,31114,29609,43664,30464,5932,11000,854,-1146
27-Sep-21 39,30989,29485,43545,30345,6051,11000,860,-1140
04-Oct-21 40,31472,29597,44470,31270,5126,11000,1673,-327
11-Oct-21 41,31084,29243,44470,31270,5126,11000,2027,27
18-Oct-21 42,31588,29763,44410,31210,5186,11000,1446,-554
25-Oct-21 43,31400,29575,43564,30364,6032,11000,789,-1211
01-Nov-21 44,31194,29066,43442,30242,6154,11000,1176,-824
08-Nov-21 45,31167,29038,43244,30044,6352,11000,1005,-995
15-Nov-21 46,31281,29153,44782,31582,4814,11000,2429,429
22-Nov-21 47,31139,29010,44505,31305,5091,11000,2294,294
29-Nov-21 48,30786,28674,44348,31148,5248,11000,2473,473
06-Dec-21 49,30908,28807,44243,31043,5353,11000,2236,236
13-Dec-21 50,30078,27977,42725,29525,6871,11000,1547,-453
20-Dec-21 51,28684,26583,43110,29910,6486,11000,3326,1326
27-Dec-21 52,27041,24940,44080,30880,5516,11000,5940,3940
03-Jan-22 1,29054,26537,43553,30353,6043,11000,3816,1816
10-Jan-22 2,29675,27479,42168,28968,7428,11000,1489,-511
17-Jan-22 3,30014,27818,42087,28887,7509,11000,1069,-931
24-Jan-22 4,30149,27953,41939,28739,7657,11000,786,-1214
31-Jan-22 5,30660,28504,43203,30003,6393,11000,1498,-502
07-Feb-22 6,31070,28914,43236,30036,6360,11000,1122,-878
14-Feb-22 7,31222,29066,43557,30357,6039,11000,1291,-709
21-Feb-22 8,31028,28872,42899,29699,6697,11000,827,-1173
28-Feb-22 9,31137,29264,43473,30273,6123,11000,1008,-992
07-Mar-22 10,31398,29525,44203,31003,5393,11000,1478,-522
14-Mar-22 11,31249,29375,43323,30123,6273,11000,747,-1253
21-Mar-22 12,31216,29161,43654,30454,5942,11000,1292,-708
28-Mar-22 13,31470,29415,43907,30707,5689,11000,1292,-708
04-Apr-22 14,31552,30175,44586,31386,5010,11000,1211,-789
11-Apr-22 15,31814,30437,44373,31173,5223,11000,736,-1264
18-Apr-22 16,32020,30642,44508,31308,5088,11000,665,-1335
25-Apr-22 17,32052,30674,44508,31308,5088,11000,633,-1367
02-May-22 18,32553,31122,44987,31787,4609,11000,665,-1335
09-May-22 19,33309,31878,45752,32552,3844,11000,673,-1327
16-May-22 20,33997,32566,46682,33482,2914,11000,915,-1085
23-May-22 21,33899,32468,46682,33482,2914,11000,1014,-986
30-May-22 22,35359,33928,47150,33950,2446,11000,22,-1978
06-Jun-22 23,34352,32786,45835,32635,3761,11000,-151,-2151
13-Jun-22 24,34186,32620,45966,32766,3630,11000,146,-1854
20-Jun-22 25,34427,32861,45879,32679,3717,11000,-182,-2182
27-Jun-22 26,34450,32884,46174,32974,3422,11000,89,-1911
04-Jul-22 27,34404,33000,46897,33697,2699,11000,696,-1304
11-Jul-22 28,34474,33071,46189,32989,3407,11000,-82,-2082
18-Jul-22 29,34853,33450,46189,32989,3407,11000,-461,-2461
25-Jul-22 30,34153,32750,45714,32514,3882,11000,-236,-2236
