"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-15200 MW),(-16700 MW)
10-Oct-22 41,30859,28875,42744,27544,7281,13000,-1331,-2831
17-Oct-22 42,30305,28798,42943,27743,7082,13000,-1056,-2556
24-Oct-22 43,30704,28718,43476,28276,6549,13000,-442,-1942
31-Oct-22 44,30325,28360,43010,27810,7015,13000,-551,-2051
07-Nov-22 45,30426,28244,42430,27230,7595,13000,-1013,-2513
14-Nov-22 46,30332,28149,42935,27735,7091,13000,-415,-1915
21-Nov-22 47,30189,28006,42173,26973,7852,13000,-1033,-2533
28-Nov-22 48,29823,27640,41291,26091,8734,13000,-1549,-3049
05-Dec-22 49,29714,27527,41659,26459,8366,13000,-1068,-2568
12-Dec-22 50,29699,27512,41528,26328,8497,13000,-1184,-2684
19-Dec-22 51,28906,26719,41323,26123,8702,13000,-596,-2096
26-Dec-22 52,26459,24273,39346,24146,10679,13000,-127,-1627
02-Jan-23 1,28106,26072,41191,25991,8834,13000,-81,-1581
09-Jan-23 2,29704,27670,41863,26663,8162,13000,-1007,-2507
16-Jan-23 3,30496,28461,41603,26403,8422,13000,-2058,-3558
23-Jan-23 4,30174,28139,41963,26763,8062,13000,-1376,-2876
30-Jan-23 5,30383,28349,41460,26260,8565,13000,-2089,-3589
06-Feb-23 6,30997,29208,42604,27404,7421,13000,-1804,-3304
13-Feb-23 7,30835,29045,42404,27204,7621,13000,-1841,-3341
20-Feb-23 8,30909,29119,42646,27446,7379,13000,-1673,-3173
27-Feb-23 9,30721,29153,43291,28091,6734,13000,-1062,-2562
06-Mar-23 10,31153,29585,43775,28575,6250,13000,-1010,-2510
13-Mar-23 11,30805,29237,43923,28723,6102,13000,-514,-2014
20-Mar-23 12,31014,29366,43941,28741,6084,13000,-625,-2125
27-Mar-23 13,30853,29206,43751,28551,6274,13000,-655,-2155
03-Apr-23 14,32219,30573,45246,30046,4779,13000,-527,-2027
10-Apr-23 15,32493,30846,45156,29956,4869,13000,-890,-2390
17-Apr-23 16,32984,31338,45741,30541,4284,13000,-797,-2297
24-Apr-23 17,33668,32021,46336,31136,3689,13000,-885,-2385
01-May-23 18,33601,32419,46911,31711,3114,13000,-708,-2208
08-May-23 19,34531,33349,47741,32541,2284,13000,-808,-2308
15-May-23 20,34704,33522,47931,32731,2094,13000,-791,-2291
22-May-23 21,35031,33849,48131,32931,1894,13000,-918,-2418
29-May-23 22,35849,34667,48074,32874,1951,13000,-1793,-3293
05-Jun-23 23,35053,33773,47726,32526,2299,13000,-1247,-2747
12-Jun-23 24,35055,33774,47874,32674,2151,13000,-1100,-2600
19-Jun-23 25,34886,33605,47874,32674,2151,13000,-931,-2431
26-Jun-23 26,35391,34110,48331,33131,1694,13000,-979,-2479
03-Jul-23 27,35153,33662,47204,32004,2821,13000,-1658,-3158
10-Jul-23 28,35127,33636,47204,32004,2821,13000,-1632,-3132
17-Jul-23 29,35242,33751,47204,32004,2821,13000,-1747,-3247
24-Jul-23 30,35288,33797,47261,32061,2764,13000,-1736,-3236
31-Jul-23 31,34476,32985,47318,32118,2707,13000,-867,-2367
07-Aug-23 32,34154,32460,46821,31621,3204,13000,-839,-2339
14-Aug-23 33,33807,32114,46050,30850,3975,13000,-1264,-2764
21-Aug-23 34,33730,32037,45902,30702,4123,13000,-1335,-2835
28-Aug-23 35,33641,31961,45694,30494,4331,13000,-1467,-2967
04-Sep-23 36,33478,31791,45905,30705,4120,13000,-1086,-2586
11-Sep-23 37,33126,31440,46640,31440,3385,13000,0,-1500
18-Sep-23 38,32252,30565,44920,29720,5105,13000,-845,-2345
25-Sep-23 39,32248,30561,44589,29389,5436,13000,-1172,-2672
02-Oct-23 40,32567,30461,44304,29104,5721,13000,-1357,-2857
09-Oct-23 41,31967,29871,43819,28619,6206,13000,-1252,-2752
16-Oct-23 42,31435,29362,43544,28344,6481,13000,-1018,-2518
