"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-17200 MW),(-19200 MW)
03-Jul-23 27,32141,30861,45690,28490,3501,15000,-2372,-4372
10-Jul-23 28,32169,30719,45851,28651,3340,15000,-2068,-4068
17-Jul-23 29,32576,31085,47320,30120,1871,15000,-966,-2966
24-Jul-23 30,32609,31118,46521,29321,2670,15000,-1798,-3798
31-Jul-23 31,32305,30612,47096,29896,2095,15000,-716,-2716
07-Aug-23 32,31863,30170,46040,28840,3151,15000,-1330,-3330
14-Aug-23 33,31575,29882,45425,28225,3766,15000,-1657,-3657
21-Aug-23 34,31288,29595,45242,28042,3949,15000,-1553,-3553
28-Aug-23 35,31319,29639,45745,28545,3446,15000,-1095,-3095
04-Sep-23 36,31586,29899,45701,28501,3490,15000,-1399,-3399
11-Sep-23 37,31570,29883,45917,28717,3274,15000,-1167,-3167
18-Sep-23 38,31158,29471,46076,28876,3115,15000,-596,-2596
25-Sep-23 39,30928,29241,45285,28085,3906,15000,-1156,-3156
02-Oct-23 40,31635,29659,45260,28060,3931,15000,-1599,-3599
09-Oct-23 41,31372,29395,45310,28110,3881,15000,-1285,-3285
16-Oct-23 42,31286,29309,45581,28381,3610,15000,-929,-2929
23-Oct-23 43,30991,29015,45258,28058,3933,15000,-957,-2957
30-Oct-23 44,30837,28860,44133,26933,5058,15000,-1928,-3928
06-Nov-23 45,30480,28381,44140,26940,5051,15000,-1441,-3441
13-Nov-23 46,30439,28371,43992,26792,5199,15000,-1579,-3579
20-Nov-23 47,30288,28220,43774,26574,5417,15000,-1647,-3647
27-Nov-23 48,30059,27991,42837,25637,6354,15000,-2354,-4354
04-Dec-23 49,30063,27880,43412,28212,5779,13000,331,-1669
11-Dec-23 50,30109,27927,43017,27817,6174,13000,-110,-2110
18-Dec-23 51,28935,26752,42668,27468,6523,13000,716,-1284
25-Dec-23 52,26312,24130,39608,24408,9583,13000,278,-1722
01-Jan-24 1,27780,25636,39958,24758,9233,13000,-878,-2878
08-Jan-24 2,29422,27278,41857,26657,7334,13000,-622,-2622
15-Jan-24 3,29883,27739,42580,27380,6611,13000,-359,-2359
22-Jan-24 4,30203,28059,42432,27232,6759,13000,-828,-2828
29-Jan-24 5,30358,28214,42432,27232,6759,13000,-982,-2982
05-Feb-24 6,30700,28610,43278,28078,5913,13000,-532,-2532
12-Feb-24 7,30793,28704,43425,28225,5766,13000,-479,-2479
19-Feb-24 8,30724,28635,43030,27830,6161,13000,-805,-2805
26-Feb-24 9,30567,28477,43030,27830,6161,13000,-647,-2647
04-Mar-24 10,30918,28958,43693,28493,5498,13000,-466,-2466
11-Mar-24 11,30966,29006,43663,28463,5528,13000,-543,-2543
18-Mar-24 12,30790,28807,43758,28558,5433,13000,-249,-2249
25-Mar-24 13,30764,28719,43342,28142,5849,13000,-577,-2577
01-Apr-24 14,31151,29620,44797,29597,4394,13000,-24,-2024
08-Apr-24 15,31666,30135,44327,29127,4864,13000,-1008,-3008
15-Apr-24 16,32015,30483,45136,29936,4055,13000,-548,-2548
22-Apr-24 17,32400,30869,44961,29761,4230,13000,-1108,-3108
29-Apr-24 18,32215,30877,45723,30523,3468,13000,-354,-2354
06-May-24 19,33020,31695,46316,31116,2875,13000,-579,-2579
13-May-24 20,33663,32338,46491,31291,2700,13000,-1047,-3047
20-May-24 21,33932,32607,47211,32011,1980,13000,-596,-2596
27-May-24 22,34457,33131,47179,31979,2012,13000,-1153,-3153
03-Jun-24 23,34287,32501,47179,31979,2012,13000,-523,-2523
10-Jun-24 24,34395,32610,47179,31979,2012,13000,-631,-2631
17-Jun-24 25,34290,32504,47754,32554,1437,13000,49,-1951
24-Jun-24 26,34502,32717,47607,32407,1584,13000,-310,-2310
01-Jul-24 27,33790,32299,47267,32067,1924,13000,-233,-2233
08-Jul-24 28,34133,32642,47624,32424,1567,13000,-218,-2218
