"",MW,MW,MW,MW,MW,MW,MW,MW
Week Start Week,RSA,Residual,Available,Available,Planned,Unplanned,Planned,Likely Risk
"",Contracted,Forecast,Dispatchable,Capacity (Less,Maintenance,Outage,Risk Level,Senario
"",Forecast,,Capacity,OR and UA),,Assumption (UA),(-15200 MW),(-17200 MW)
07-Nov-22 45,30184,28364,43115,27915,6076,13000,-449,-2449
14-Nov-22 46,29886,27943,44364,29164,4827,13000,1221,-779
21-Nov-22 47,29720,27537,42165,26965,7025,13000,-572,-2572
28-Nov-22 48,29322,27139,42426,27226,6765,13000,86,-1914
05-Dec-22 49,29502,27315,40575,25375,8616,13000,-1941,-3941
12-Dec-22 50,29393,27207,41019,25819,8172,13000,-1388,-3388
19-Dec-22 51,28505,26318,40679,25479,8512,13000,-840,-2840
26-Dec-22 52,26034,23847,38829,23629,10362,13000,-219,-2219
02-Jan-23 1,27906,25872,40099,24899,9092,13000,-973,-2973
09-Jan-23 2,29025,26991,41346,26146,7845,13000,-845,-2845
16-Jan-23 3,29926,27891,42399,27199,6792,13000,-693,-2693
23-Jan-23 4,30056,28022,42819,27619,6372,13000,-403,-2403
30-Jan-23 5,30161,28372,42044,26844,7147,13000,-1528,-3528
06-Feb-23 6,30997,29208,42490,27290,6701,13000,-1918,-3918
13-Feb-23 7,30835,29045,42290,27090,6901,13000,-1956,-3956
20-Feb-23 8,30909,29119,42532,27332,6659,13000,-1788,-3788
27-Feb-23 9,30721,29153,43177,27977,6014,13000,-1176,-3176
06-Mar-23 10,31153,29585,43661,28461,5530,13000,-1124,-3124
13-Mar-23 11,30805,29237,43234,28034,5957,13000,-1204,-3204
20-Mar-23 12,31014,29366,43234,28034,5957,13000,-1333,-3333
27-Mar-23 13,30853,29206,43619,28419,5572,13000,-787,-2787
03-Apr-23 14,32219,30573,44539,29339,4652,13000,-1234,-3234
10-Apr-23 15,32493,30846,45232,30032,3959,13000,-815,-2815
17-Apr-23 16,32984,31338,45817,30617,3374,13000,-721,-2721
24-Apr-23 17,33668,32021,46412,31212,2779,13000,-810,-2810
01-May-23 18,33601,32419,46987,31787,2204,13000,-633,-2633
08-May-23 19,34531,33349,47627,32427,1564,13000,-923,-2923
15-May-23 20,34704,33522,47817,32617,1374,13000,-906,-2906
22-May-23 21,35031,33849,48017,32817,1174,13000,-1032,-3032
29-May-23 22,35849,34667,47960,32760,1231,13000,-1907,-3907
05-Jun-23 23,35053,33773,47612,32412,1579,13000,-1361,-3361
12-Jun-23 24,35055,33774,47760,32560,1431,13000,-1215,-3215
19-Jun-23 25,34886,33605,47760,32560,1431,13000,-1046,-3046
26-Jun-23 26,35391,34110,48217,33017,974,13000,-1094,-3094
03-Jul-23 27,35153,33662,47090,31890,2101,13000,-1772,-3772
10-Jul-23 28,35127,33636,47090,31890,2101,13000,-1746,-3746
17-Jul-23 29,35242,33751,47090,31890,2101,13000,-1862,-3862
24-Jul-23 30,35288,33797,47147,31947,2044,13000,-1851,-3851
31-Jul-23 31,34476,32985,47204,32004,1987,13000,-981,-2981
07-Aug-23 32,34154,32460,46707,31507,2484,13000,-954,-2954
14-Aug-23 33,33807,32114,45936,30736,3255,13000,-1378,-3378
21-Aug-23 34,33730,32037,45788,30588,3403,13000,-1449,-3449
28-Aug-23 35,33641,31961,45580,30380,3611,13000,-1582,-3582
04-Sep-23 36,33478,31791,45791,30591,3400,13000,-1201,-3201
11-Sep-23 37,33126,31440,46526,31326,2665,13000,-114,-2114
18-Sep-23 38,32252,30565,44806,29606,4385,13000,-960,-2960
25-Sep-23 39,32248,30561,44475,29275,4716,13000,-1287,-3287
02-Oct-23 40,32438,30461,44190,28990,5001,13000,-1472,-3472
09-Oct-23 41,31837,29871,43705,28505,5486,13000,-1367,-3367
16-Oct-23 42,31305,29362,43430,28230,5761,13000,-1132,-3132
23-Oct-23 43,30945,29062,42650,27450,6541,13000,-1613,-3613
30-Oct-23 44,31035,29125,43278,28078,5913,13000,-1047,-3047
06-Nov-23 45,31002,28819,42947,27747,6244,13000,-1073,-3073
13-Nov-23 46,30872,28689,42445,27245,6746,13000,-1445,-3445
